feature_ID	gene_name	FC_Syn_vs_H_at_ZT0	FC_Syn_vs_H_at_ZT12	synaptic_enriched_3104	in_Cajigas_et_al 	in_Ouwenga_et_al 
ENSMUSG00000027395	Polr1b	NaN	NaN		+	+
ENSMUSG00000067148	Polr1c	NaN	NaN		+	+
ENSMUSG00000028318	Polr1e	NaN	NaN		+	+
ENSMUSG00000005198	Polr2a	1.823419	2.033275	+	+	+
ENSMUSG00000029250	Polr2b	1.762716	2.020084	+	+	+
ENSMUSG00000031783	Polr2c	NaN	NaN		+	+
ENSMUSG00000024258	Polr2d	NaN	NaN		+	+
ENSMUSG00000004667	Polr2e	NaN	NaN		+	+
ENSMUSG00000033020	Polr2f	NaN	NaN		+	+
ENSMUSG00000071662	Polr2g	NaN	NaN		+	+
ENSMUSG00000021018	Polr2h	NaN	NaN		+	+
ENSMUSG00000019738	Polr2i	NaN	NaN		+	+
ENSMUSG00000039771	Polr2j	NaN	NaN		+	+
ENSMUSG00000032199	Polr2m	NaN	NaN		+	+
ENSMUSG00000025280	Polr3a	NaN	NaN		+	+
ENSMUSG00000034453	Polr3b	NaN	NaN		+	+
ENSMUSG00000028099	Polr3c	NaN	NaN		+	+
ENSMUSG00000000776	Polr3d	NaN	NaN		+	+
ENSMUSG00000030880	Polr3e	NaN	NaN		+	+
ENSMUSG00000027427	Polr3f	NaN	NaN		+	+
ENSMUSG00000035834	Polr3g	NaN	NaN		+	+
ENSMUSG00000028104	Polr3gl	NaN	NaN		+	+
ENSMUSG00000022476	Polr3h	1.918459	1.542136	+	+	+
ENSMUSG00000038628	Polr3k	NaN	NaN		+	+
ENSMUSG00000020329	Polrmt	NaN	NaN		+	+
ENSMUSG00000053293	Pom121	NaN	NaN		+	+
ENSMUSG00000028700	Pomgnt1	NaN	NaN		+	+
ENSMUSG00000029649	Pomp	NaN	NaN		+	+
ENSMUSG00000039254	Pomt1	NaN	NaN		+	+
ENSMUSG00000034126	Pomt2	NaN	NaN		+	+
ENSMUSG00000032667	Pon2	3.765799	3.2123	+	+	+
ENSMUSG00000029759	Pon3	2.273415	4.471581	+	+	+
ENSMUSG00000022325	Pop1	NaN	NaN		+	+
ENSMUSG00000030423	Pop4	NaN	NaN		+	+
ENSMUSG00000060152	Pop5	NaN	NaN		+	+
ENSMUSG00000029715	Pop7	NaN	NaN		+	+
ENSMUSG00000005514	Por	1.721371	1.503061	+	+	+
ENSMUSG00000031169	Porcn	NaN	NaN		+	+
ENSMUSG00000027750	Postn	NaN	NaN		+	+
ENSMUSG00000029676	Pot1a	NaN	NaN		+	+
ENSMUSG00000024174	Pot1b	NaN	NaN		+	
ENSMUSG00000026565	Pou2f1	NaN	NaN		+	+
ENSMUSG00000008496	Pou2f2	NaN	NaN		+	+
ENSMUSG00000090125	Pou3f1	NaN	NaN		+	+
ENSMUSG00000095139	Pou3f2	NaN	NaN		+	+
ENSMUSG00000045515	Pou3f3	1.909731	1.755804	+	+	+
ENSMUSG00000056854	Pou3f4	1.449889	1.644951	+	+	+
ENSMUSG00000009739	Pou6f1	NaN	NaN		+	+
ENSMUSG00000098598	Pou6f1	NaN	NaN		+	+
ENSMUSG00000020089	Ppa1	NaN	NaN		+	+
ENSMUSG00000028013	Ppa2	NaN	NaN		+	+
ENSMUSG00000004100	Ppan	NaN	NaN		+	+
ENSMUSG00000021759	Ppap2a	NaN	NaN		+	+
ENSMUSG00000028517	Ppap2b	2.654693	2.508836	+	+	+
ENSMUSG00000031570	Ppapdc1b	NaN	NaN		+	+
ENSMUSG00000040105	Ppapdc2	NaN	NaN		+	+
ENSMUSG00000051373	Ppapdc3	NaN	NaN		+	+
ENSMUSG00000022383	Ppara	4.127031	2.86945	+	+	+
ENSMUSG00000002250	Ppard	NaN	NaN		+	+
ENSMUSG00000029167	Ppargc1a	NaN	NaN		+	+
ENSMUSG00000029246	Ppat	NaN	NaN		+	+
ENSMUSG00000063849	Ppcdc	NaN	NaN		+	+
ENSMUSG00000028636	Ppcs	NaN	NaN		+	+
ENSMUSG00000016344	Ppdpf	NaN	NaN		+	+
ENSMUSG00000062168	Ppef1	1.209416	2.919075	+	+	
ENSMUSG00000037519	Ppfia1	NaN	NaN		+	+
ENSMUSG00000053825	Ppfia2	NaN	NaN		+	+
ENSMUSG00000003863	Ppfia3	1.634052	1.758048	+	+	+
ENSMUSG00000026458	Ppfia4	NaN	NaN		+	+
ENSMUSG00000016487	Ppfibp1	NaN	NaN		+	+
ENSMUSG00000036528	Ppfibp2	NaN	NaN		+	+
ENSMUSG00000036167	Pphln1	NaN	NaN		+	+
ENSMUSG00000071866	Ppia	NaN	NaN		+	+
ENSMUSG00000032383	Ppib	NaN	NaN		+	+
ENSMUSG00000024538	Ppic	NaN	NaN		+	+
ENSMUSG00000027804	Ppid	NaN	NaN		+	+
ENSMUSG00000028651	Ppie	NaN	NaN		+	+
ENSMUSG00000021868	Ppif	NaN	NaN		+	+
ENSMUSG00000042133	Ppig	NaN	NaN		+	+
ENSMUSG00000060288	Ppih	NaN	NaN		+	+
ENSMUSG00000024007	Ppil1	NaN	NaN		+	+
ENSMUSG00000022771	Ppil2	NaN	NaN		+	+
ENSMUSG00000026035	Ppil3	NaN	NaN		+	+
ENSMUSG00000015757	Ppil4	NaN	NaN		+	+
ENSMUSG00000078451	Ppil6	NaN	NaN		+	+
ENSMUSG00000033526	Ppip5k1	NaN	NaN		+	+
ENSMUSG00000039457	Ppl	NaN	NaN		+	
ENSMUSG00000021096	Ppm1a	NaN	NaN		+	+
ENSMUSG00000061130	Ppm1b	NaN	NaN		+	+
ENSMUSG00000020525	Ppm1d	NaN	NaN		+	+
ENSMUSG00000046442	Ppm1e	NaN	NaN		+	+
ENSMUSG00000026181	Ppm1f	NaN	NaN		+	+
ENSMUSG00000029147	Ppm1g	NaN	NaN		+	+
ENSMUSG00000034613	Ppm1h	NaN	NaN		+	+
ENSMUSG00000037826	Ppm1k	NaN	NaN		+	+
ENSMUSG00000027784	Ppm1l	1.477031	1.712981	+	+	+
ENSMUSG00000030718	Ppme1	NaN	NaN		+	+
ENSMUSG00000062729	Ppox	NaN	NaN		+	+
ENSMUSG00000040385	Ppp1ca	NaN	NaN		+	
ENSMUSG00000014956	Ppp1cb	NaN	NaN		+	+
ENSMUSG00000004455	Ppp1cc	NaN	NaN		+	+
ENSMUSG00000039220	Ppp1r10	NaN	NaN		+	+
ENSMUSG00000036398	Ppp1r11	NaN	NaN		+	+
ENSMUSG00000019907	Ppp1r12a	1.053802	1.549263	+	+	+
ENSMUSG00000073557	Ppp1r12b	NaN	NaN		+	+
ENSMUSG00000019254	Ppp1r12c	NaN	NaN		+	+
ENSMUSG00000021285	Ppp1r13b	NaN	NaN		+	+
ENSMUSG00000056612	Ppp1r14b	1.695842	1.718754	+	+	+
ENSMUSG00000040653	Ppp1r14c	NaN	NaN		+	+
ENSMUSG00000040435	Ppp1r15a	NaN	NaN		+	+
ENSMUSG00000046062	Ppp1r15b	NaN	NaN		+	+
ENSMUSG00000033819	Ppp1r16a	NaN	NaN		+	+
ENSMUSG00000037754	Ppp1r16b	NaN	NaN		+	+
ENSMUSG00000034595	Ppp1r18	1.607986	2.547213	+	+	+
ENSMUSG00000022490	Ppp1r1a	NaN	NaN		+	+
ENSMUSG00000061718	Ppp1r1b	NaN	NaN		+	+
ENSMUSG00000047714	Ppp1r2	NaN	NaN		+	+
ENSMUSG00000029725	Ppp1r35	NaN	NaN		+	+
ENSMUSG00000052221	Ppp1r36	NaN	NaN		+	
ENSMUSG00000046794	Ppp1r3b	1.197774	1.692177	+	+	+
ENSMUSG00000067279	Ppp1r3c	3.748379	3.413172	+	+	+
ENSMUSG00000049999	Ppp1r3d	NaN	NaN		+	+
ENSMUSG00000026275	Ppp1r7	NaN	NaN		+	+
ENSMUSG00000028882	Ppp1r8	NaN	NaN		+	+
ENSMUSG00000032827	Ppp1r9a	1.386031	1.80936	+	+	+
ENSMUSG00000038976	Ppp1r9b	2.150393	1.882307	+	+	+
ENSMUSG00000020349	Ppp2ca	NaN	NaN		+	+
ENSMUSG00000009630	Ppp2cb	NaN	NaN		+	+
ENSMUSG00000007564	Ppp2r1a	NaN	NaN		+	+
ENSMUSG00000032058	Ppp2r1b	NaN	NaN		+	+
ENSMUSG00000022052	Ppp2r2a	NaN	NaN		+	+
ENSMUSG00000024500	Ppp2r2b	NaN	NaN		+	+
ENSMUSG00000029120	Ppp2r2c	NaN	NaN		+	+
ENSMUSG00000041769	Ppp2r2d	NaN	NaN		+	+
ENSMUSG00000043154	Ppp2r3a	1.729089	1.795344	+	+	+
ENSMUSG00000021022	Ppp2r3c	NaN	NaN		+	+
ENSMUSG00000039515	Ppp2r4	NaN	NaN		+	+
ENSMUSG00000026626	Ppp2r5a	NaN	NaN		+	+
ENSMUSG00000024777	Ppp2r5b	NaN	NaN		+	+
ENSMUSG00000017843	Ppp2r5c	NaN	NaN		+	+
ENSMUSG00000059409	Ppp2r5d	NaN	NaN		+	+
ENSMUSG00000021051	Ppp2r5e	NaN	NaN		+	+
ENSMUSG00000028161	Ppp3ca	NaN	NaN		+	+
ENSMUSG00000021816	Ppp3cb	NaN	NaN		+	+
ENSMUSG00000022092	Ppp3cc	NaN	NaN		+	+
ENSMUSG00000033953	Ppp3r1	NaN	NaN		+	+
ENSMUSG00000030697	Ppp4c	NaN	NaN		+	+
ENSMUSG00000061950	Ppp4r1	NaN	NaN		+	+
ENSMUSG00000052144	Ppp4r2	NaN	NaN		+	+
ENSMUSG00000003099	Ppp5c	NaN	NaN		+	+
ENSMUSG00000026753	Ppp6c	NaN	NaN		+	+
ENSMUSG00000052296	Ppp6r1	NaN	NaN		+	+
ENSMUSG00000036561	Ppp6r2	NaN	NaN		+	+
ENSMUSG00000055491	Pprc1	NaN	NaN		+	+
ENSMUSG00000028657	Ppt1	1.753519	1.552641	+	+	+
ENSMUSG00000015474	Ppt2	NaN	NaN		+	+
ENSMUSG00000038582	Pptc7	NaN	NaN		+	+
ENSMUSG00000021713	Ppwd1	NaN	NaN		+	+
ENSMUSG00000031157	Pqbp1	NaN	NaN		+	+
ENSMUSG00000034006	Pqlc1	NaN	NaN		+	+
ENSMUSG00000028744	Pqlc2	NaN	NaN		+	+
ENSMUSG00000045679	Pqlc3	NaN	NaN		+	+
ENSMUSG00000031149	Praf2	1.544959	1.34637	+	+	+
ENSMUSG00000046862	Pramef8	NaN	NaN		+	
ENSMUSG00000038943	Prc1	1.029501	1.736748	+	+	+
ENSMUSG00000004895	Prcc	NaN	NaN		+	+
ENSMUSG00000061119	Prcp	1.424319	1.532661	+	+	+
ENSMUSG00000042496	Prdm10	NaN	NaN		+	+
ENSMUSG00000014039	Prdm15	NaN	NaN		+	+
ENSMUSG00000057637	Prdm2	NaN	NaN		+	+
ENSMUSG00000035529	Prdm4	NaN	NaN		+	+
ENSMUSG00000029913	Prdm5	NaN	NaN		+	+
ENSMUSG00000035456	Prdm8	NaN	NaN		+	+
ENSMUSG00000028691	Prdx1	1.765605	1.498568	+	+	+
ENSMUSG00000005161	Prdx2	NaN	NaN		+	+
ENSMUSG00000024997	Prdx3	NaN	NaN		+	+
ENSMUSG00000025289	Prdx4	1.861834	1.468992	+	+	+
ENSMUSG00000024953	Prdx5	NaN	NaN		+	+
ENSMUSG00000026701	Prdx6	2.421355	2.053103	+	+	+
ENSMUSG00000045302	Preb	NaN	NaN		+	+
ENSMUSG00000021486	Prelid1	NaN	NaN		+	+
ENSMUSG00000041577	Prelp	1.290023	1.565054	+	+	+
ENSMUSG00000019849	Prep	1.598894	1.845459	+	+	+
ENSMUSG00000024127	Prepl	1.107079	1.590059	+	+	+
ENSMUSG00000039621	Prex1	2.531801	2.492635	+	+	+
ENSMUSG00000048960	Prex2	4.054195	3.74033	+	+	+
ENSMUSG00000006014	Prg4	2.052222	1.505035	+	+	+
ENSMUSG00000036158	Prickle1	NaN	NaN		+	+
ENSMUSG00000030020	Prickle2	1.169836	1.514426	+	+	+
ENSMUSG00000025395	Prim1	NaN	NaN		+	+
ENSMUSG00000026134	Prim2	NaN	NaN		+	+
ENSMUSG00000041669	Prima1	NaN	NaN		+	+
ENSMUSG00000050697	Prkaa1	NaN	NaN		+	+
ENSMUSG00000028518	Prkaa2	NaN	NaN		+	+
ENSMUSG00000029513	Prkab1	NaN	NaN		+	+
ENSMUSG00000038205	Prkab2	NaN	NaN		+	+
ENSMUSG00000005469	Prkaca	NaN	NaN		+	+
ENSMUSG00000005034	Prkacb	NaN	NaN		+	+
ENSMUSG00000067713	Prkag1	NaN	NaN		+	+
ENSMUSG00000028944	Prkag2	NaN	NaN		+	+
ENSMUSG00000020612	Prkar1a	NaN	NaN		+	+
ENSMUSG00000025855	Prkar1b	NaN	NaN		+	+
ENSMUSG00000032601	Prkar2a	NaN	NaN		+	+
ENSMUSG00000002997	Prkar2b	NaN	NaN		+	+
ENSMUSG00000050965	Prkca	1.319982	1.725904	+	+	+
ENSMUSG00000052889	Prkcb	1.311247	1.598206	+	+	+
ENSMUSG00000021948	Prkcd	NaN	NaN		+	+
ENSMUSG00000037060	Prkcdbp	1.826654	1.297978	+	+	+
ENSMUSG00000045038	Prkce	NaN	NaN		+	+
ENSMUSG00000078816	Prkcg	NaN	NaN		+	
ENSMUSG00000021108	Prkch	NaN	NaN		+	+
ENSMUSG00000037643	Prkci	NaN	NaN		+	+
ENSMUSG00000026778	Prkcq	NaN	NaN		+	+
ENSMUSG00000003402	Prkcsh	1.506414	1.229249	+	+	+
ENSMUSG00000029053	Prkcz	NaN	NaN		+	+
ENSMUSG00000002688	Prkd1	2.455302	1.994799	+	+	+
ENSMUSG00000041187	Prkd2	NaN	NaN		+	+
ENSMUSG00000024070	Prkd3	2.119052	2.262161	+	+	+
ENSMUSG00000022672	Prkdc	NaN	NaN		+	+
ENSMUSG00000052920	Prkg1	NaN	NaN		+	+
ENSMUSG00000029334	Prkg2	1.431323	1.544378	+	+	+
ENSMUSG00000002731	Prkra	NaN	NaN		+	+
ENSMUSG00000039737	Prkrip1	NaN	NaN		+	+
ENSMUSG00000030753	Prkrir	1.983449	1.759543	+	+	+
ENSMUSG00000035725	Prkx	NaN	NaN		+	+
ENSMUSG00000005268	Prlr	1.180327	1.52529	+	+	+
ENSMUSG00000052429	Prmt1	NaN	NaN		+	+
ENSMUSG00000037134	Prmt10	NaN	NaN		+	+
ENSMUSG00000020230	Prmt2	NaN	NaN		+	+
ENSMUSG00000030505	Prmt3	NaN	NaN		+	+
ENSMUSG00000023110	Prmt5	NaN	NaN		+	+
ENSMUSG00000049300	Prmt6	NaN	NaN		+	+
ENSMUSG00000060098	Prmt7	NaN	NaN		+	+
ENSMUSG00000030350	Prmt8	NaN	NaN		+	+
ENSMUSG00000079037	Prnp	2.037224	1.75561	+	+	+
ENSMUSG00000044122	Proca1	3.107276	2.81425	+	+	+
ENSMUSG00000003526	Prodh	2.805289	2.064406	+	+	+
ENSMUSG00000050558	Prokr2	NaN	NaN		+	+
ENSMUSG00000029086	Prom1	NaN	NaN		+	+
ENSMUSG00000032673	Prorsd1	NaN	NaN		+	+
ENSMUSG00000022912	Pros1	1.951542	2.231113	+	+	+
ENSMUSG00000031485	Prosc	NaN	NaN		+	+
ENSMUSG00000049504	Proser1	NaN	NaN		+	+
ENSMUSG00000010175	Prox1	NaN	NaN		+	+
ENSMUSG00000039449	Prpf18	NaN	NaN		+	+
ENSMUSG00000024735	Prpf19	NaN	NaN		+	+
ENSMUSG00000015748	Prpf3	NaN	NaN		+	+
ENSMUSG00000008373	Prpf31	NaN	NaN		+	+
ENSMUSG00000063800	Prpf38a	NaN	NaN		+	+
ENSMUSG00000027881	Prpf38b	NaN	NaN		+	+
ENSMUSG00000035597	Prpf39	NaN	NaN		+	+
ENSMUSG00000066148	Prpf4	NaN	NaN		+	+
ENSMUSG00000061136	Prpf40a	NaN	NaN		+	+
ENSMUSG00000021413	Prpf4b	NaN	NaN		+	+
ENSMUSG00000002455	Prpf6	1.521569	1.603512	+	+	+
ENSMUSG00000020850	Prpf8	1.993937	2.448944	+	+	+
ENSMUSG00000023484	Prph	NaN	NaN		+	+
ENSMUSG00000031432	Prps1	NaN	NaN		+	+
ENSMUSG00000025742	Prps2	NaN	NaN		+	+
ENSMUSG00000015869	Prpsap1	NaN	NaN		+	+
ENSMUSG00000020528	Prpsap2	NaN	NaN		+	+
ENSMUSG00000020493	Prr11	1.073387	1.830886	+	+	+
ENSMUSG00000046574	Prr12	1.670255	1.625955	+	+	+
ENSMUSG00000023048	Prr13	NaN	NaN		+	+
ENSMUSG00000030822	Prr14	NaN	NaN		+	+
ENSMUSG00000054280	Prr14l	NaN	NaN		+	+
ENSMUSG00000073565	Prr16	NaN	NaN		+	+
ENSMUSG00000055945	Prr18	4.475277	4.549848	+	+	+
ENSMUSG00000038500	Prr3	NaN	NaN		+	+
ENSMUSG00000036106	Prr5	1.914657	1.716736	+	+	+
ENSMUSG00000032841	Prr5l	NaN	NaN		+	+
ENSMUSG00000034686	Prr7	2.019083	1.648497	+	+	+
ENSMUSG00000024594	Prrc1	NaN	NaN		+	+
ENSMUSG00000024393	Prrc2a	NaN	NaN		+	+
ENSMUSG00000039262	Prrc2b	1.503757	1.8527	+	+	+
ENSMUSG00000040225	Prrc2c	1.547397	1.885619	+	+	+
ENSMUSG00000047996	Prrg1	NaN	NaN		+	+
ENSMUSG00000007837	Prrg2	NaN	NaN		+	+
ENSMUSG00000015476	Prrt1	NaN	NaN		+	+
ENSMUSG00000045009	Prrt3	NaN	NaN		+	+
ENSMUSG00000079654	Prrt4	NaN	NaN		+	+
ENSMUSG00000026586	Prrx1	2.109054	1.734142	+	+	+
ENSMUSG00000027978	Prss12	NaN	NaN		+	+
ENSMUSG00000039405	Prss23	NaN	NaN		+	+
ENSMUSG00000033491	Prss35	NaN	NaN		+	+
ENSMUSG00000015711	Prune	NaN	NaN		+	+
ENSMUSG00000039126	Prune2	NaN	NaN		+	+
ENSMUSG00000053198	Prx	NaN	NaN		+	+
ENSMUSG00000004207	Psap	2.204929	1.957338	+	+	+
ENSMUSG00000024640	Psat1	2.128923	2.057441	+	+	+
ENSMUSG00000037126	Psd	1.858514	1.53464	+	+	+
ENSMUSG00000024347	Psd2	2.322173	2.006508	+	+	+
ENSMUSG00000030465	Psd3	1.710857	2.162771	+	+	+
ENSMUSG00000026979	Psd4	NaN	NaN		+	+
ENSMUSG00000019969	Psen1	NaN	NaN		+	+
ENSMUSG00000010609	Psen2	NaN	NaN		+	+
ENSMUSG00000036835	Psenen	NaN	NaN		+	+
ENSMUSG00000028484	Psip1	NaN	NaN		+	+
ENSMUSG00000048310	Pskh1	NaN	NaN		+	+
ENSMUSG00000030751	Psma1	NaN	NaN		+	+
ENSMUSG00000015671	Psma2	NaN	NaN		+	+
ENSMUSG00000060073	Psma3	NaN	NaN		+	+
ENSMUSG00000032301	Psma4	NaN	NaN		+	+
ENSMUSG00000068749	Psma5	NaN	NaN		+	+
ENSMUSG00000021024	Psma6	NaN	NaN		+	+
ENSMUSG00000027566	Psma7	NaN	NaN		+	+
ENSMUSG00000014769	Psmb1	NaN	NaN		+	+
ENSMUSG00000031897	Psmb10	NaN	NaN		+	+
ENSMUSG00000028837	Psmb2	NaN	NaN		+	+
ENSMUSG00000069744	Psmb3	NaN	NaN		+	+
ENSMUSG00000005779	Psmb4	NaN	NaN		+	+
ENSMUSG00000022193	Psmb5	NaN	NaN		+	+
ENSMUSG00000018286	Psmb6	NaN	NaN		+	+
ENSMUSG00000026750	Psmb7	NaN	NaN		+	+
ENSMUSG00000024338	Psmb8	1.791026	1.803366	+	+	+
ENSMUSG00000021178	Psmc1	NaN	NaN		+	+
ENSMUSG00000028932	Psmc2	NaN	NaN		+	+
ENSMUSG00000002102	Psmc3	NaN	NaN		+	+
ENSMUSG00000019303	Psmc3ip	NaN	NaN		+	+
ENSMUSG00000030603	Psmc4	NaN	NaN		+	+
ENSMUSG00000020708	Psmc5	NaN	NaN		+	+
ENSMUSG00000021832	Psmc6	NaN	NaN		+	+
ENSMUSG00000026229	Psmd1	1.397268	1.642266	+	+	+
ENSMUSG00000031429	Psmd10	NaN	NaN		+	+
ENSMUSG00000017428	Psmd11	NaN	NaN		+	+
ENSMUSG00000020720	Psmd12	NaN	NaN		+	+
ENSMUSG00000025487	Psmd13	NaN	NaN		+	+
ENSMUSG00000026914	Psmd14	NaN	NaN		+	+
ENSMUSG00000006998	Psmd2	NaN	NaN		+	+
ENSMUSG00000017221	Psmd3	NaN	NaN		+	+
ENSMUSG00000005625	Psmd4	NaN	NaN		+	+
ENSMUSG00000026869	Psmd5	NaN	NaN		+	+
ENSMUSG00000021737	Psmd6	NaN	NaN		+	+
ENSMUSG00000039067	Psmd7	NaN	NaN		+	+
ENSMUSG00000030591	Psmd8	NaN	NaN		+	+
ENSMUSG00000029440	Psmd9	NaN	NaN		+	+
ENSMUSG00000022216	Psme1	NaN	NaN		+	+
ENSMUSG00000079197	Psme2	NaN	NaN		+	+
ENSMUSG00000078652	Psme3	NaN	NaN		+	+
ENSMUSG00000040850	Psme4	NaN	NaN		+	+
ENSMUSG00000032869	Psmf1	NaN	NaN		+	+
ENSMUSG00000022913	Psmg1	NaN	NaN		+	+
ENSMUSG00000024537	Psmg2	NaN	NaN		+	+
ENSMUSG00000071451	Psmg4	NaN	NaN		+	+
ENSMUSG00000021938	Pspc1	NaN	NaN		+	+
ENSMUSG00000029446	Psph	1.562628	1.512942	+	+	+
ENSMUSG00000068744	Psrc1	NaN	NaN		+	+
ENSMUSG00000025429	Pstpip2	NaN	NaN		+	+
ENSMUSG00000056529	Ptafr	NaN	NaN		+	+
ENSMUSG00000074925	Ptar1	2.239259	2.658122	+	+	+
ENSMUSG00000006498	Ptbp1	NaN	NaN		+	+
ENSMUSG00000028134	Ptbp2	NaN	NaN		+	+
ENSMUSG00000028382	Ptbp3	NaN	NaN		+	+
ENSMUSG00000029624	Ptcd1	NaN	NaN		+	+
ENSMUSG00000021650	Ptcd2	NaN	NaN		+	+
ENSMUSG00000063884	Ptcd3	NaN	NaN		+	+
ENSMUSG00000021466	Ptch1	2.507516	2.466067	+	+	+
ENSMUSG00000028681	Ptch2	NaN	NaN		+	+
ENSMUSG00000041552	Ptchd1	NaN	NaN		+	+
ENSMUSG00000041544	Ptchd2	NaN	NaN		+	+
ENSMUSG00000021518	Ptdss1	1.834898	1.779419	+	+	+
ENSMUSG00000025495	Ptdss2	NaN	NaN		+	+
ENSMUSG00000013663	Pten	NaN	NaN		+	+
ENSMUSG00000026730	Pter	1.656503	1.411581	+	+	+
ENSMUSG00000015090	Ptgds	NaN	NaN		+	+
ENSMUSG00000019464	Ptger1	NaN	NaN		+	+
ENSMUSG00000037759	Ptger2	NaN	NaN		+	
ENSMUSG00000026820	Ptges2	NaN	NaN		+	+
ENSMUSG00000071072	Ptges3	NaN	NaN		+	+
ENSMUSG00000027864	Ptgfrn	1.492361	1.560345	+	+	+
ENSMUSG00000072946	Ptgr2	2.990622	2.600096	+	+	+
ENSMUSG00000047250	Ptgs1	1.808915	2.034677	+	+	+
ENSMUSG00000032487	Ptgs2	NaN	NaN		+	+
ENSMUSG00000032492	Pth1r	1.544933	1.15415	+	+	+
ENSMUSG00000048776	Pthlh	1.785145	1.599934	+	+	+
ENSMUSG00000022607	Ptk2	NaN	NaN		+	+
ENSMUSG00000059456	Ptk2b	NaN	NaN		+	+
ENSMUSG00000023972	Ptk7	NaN	NaN		+	+
ENSMUSG00000026238	Ptma	NaN	NaN		+	+
ENSMUSG00000030122	Ptms	NaN	NaN		+	+
ENSMUSG00000029838	Ptn	2.13334	1.935168	+	+	+
ENSMUSG00000038502	Ptov1	NaN	NaN		+	+
ENSMUSG00000026064	Ptp4a1	NaN	NaN		+	+
ENSMUSG00000028788	Ptp4a2	1.546942	1.669763	+	+	+
ENSMUSG00000059895	Ptp4a3	NaN	NaN		+	+
ENSMUSG00000038042	Ptpdc1	NaN	NaN		+	+
ENSMUSG00000027540	Ptpn1	NaN	NaN		+	+
ENSMUSG00000043733	Ptpn11	2.079301	2.242608	+	+	+
ENSMUSG00000028771	Ptpn12	NaN	NaN		+	+
ENSMUSG00000034573	Ptpn13	2.046762	2.038449	+	+	+
ENSMUSG00000024539	Ptpn2	NaN	NaN		+	+
ENSMUSG00000021009	Ptpn21	NaN	NaN		+	+
ENSMUSG00000036057	Ptpn23	NaN	NaN		+	+
ENSMUSG00000038764	Ptpn3	NaN	NaN		+	+
ENSMUSG00000026384	Ptpn4	1.281454	1.5793	+	+	+
ENSMUSG00000030854	Ptpn5	NaN	NaN		+	+
ENSMUSG00000004266	Ptpn6	1.518005	3.342314	+	+	+
ENSMUSG00000032290	Ptpn9	NaN	NaN		+	+
ENSMUSG00000027303	Ptpra	1.95963	1.921944	+	+	+
ENSMUSG00000020154	Ptprb	NaN	NaN		+	+
ENSMUSG00000026395	Ptprc	0.8772178	2.079064	+	+	+
ENSMUSG00000028399	Ptprd	NaN	NaN		+	+
ENSMUSG00000041836	Ptpre	NaN	NaN		+	+
ENSMUSG00000033295	Ptprf	1.554702	1.565991	+	+	+
ENSMUSG00000021745	Ptprg	1.74374	1.861632	+	+	+
ENSMUSG00000025314	Ptprj	NaN	NaN		+	+
ENSMUSG00000019889	Ptprk	NaN	NaN		+	+
ENSMUSG00000033278	Ptprm	1.671548	1.793975	+	+	+
ENSMUSG00000026204	Ptprn	NaN	NaN		+	+
ENSMUSG00000056553	Ptprn2	1.290968	1.758157	+	+	+
ENSMUSG00000030223	Ptpro	NaN	NaN		+	+
ENSMUSG00000020151	Ptprr	NaN	NaN		+	+
ENSMUSG00000013236	Ptprs	NaN	NaN		+	+
ENSMUSG00000053141	Ptprt	2.152599	2.559149	+	+	+
ENSMUSG00000028909	Ptpru	NaN	NaN		+	+
ENSMUSG00000068748	Ptprz1	3.840728	3.752374	+	+	+
ENSMUSG00000053746	Ptrh1	NaN	NaN		+	
ENSMUSG00000072582	Ptrh2	NaN	NaN		+	+
ENSMUSG00000096199	Ptrhd1	NaN	NaN		+	+
ENSMUSG00000032067	Pts	1.72978	1.400317	+	+	+
ENSMUSG00000020415	Pttg1	NaN	NaN		+	+
ENSMUSG00000009291	Pttg1ip	NaN	NaN		+	+
ENSMUSG00000002524	Puf60	NaN	NaN		+	+
ENSMUSG00000028580	Pum1	1.392532	1.682149	+	+	+
ENSMUSG00000020594	Pum2	NaN	NaN		+	+
ENSMUSG00000043991	Pura	1.552665	1.984927	+	+	+
ENSMUSG00000094483	Purb	1.576022	1.774682	+	+	+
ENSMUSG00000049184	Purg	1.447201	1.731214	+	+	+
ENSMUSG00000029507	Pus1	NaN	NaN		+	+
ENSMUSG00000020280	Pus10	NaN	NaN		+	+
ENSMUSG00000032103	Pus3	NaN	NaN		+	+
ENSMUSG00000057541	Pus7	NaN	NaN		+	+
ENSMUSG00000033356	Pus7l	NaN	NaN		+	+
ENSMUSG00000051557	Pusl1	NaN	NaN		+	+
ENSMUSG00000005716	Pvalb	NaN	NaN		+	+
ENSMUSG00000032012	Pvrl1	1.491162	1.532739	+	+	+
ENSMUSG00000062300	Pvrl2	1.559131	1.271392	+	+	+
ENSMUSG00000022656	Pvrl3	1.888985	1.934152	+	+	+
ENSMUSG00000006411	Pvrl4	1.422597	1.691594	+	+	+
ENSMUSG00000001785	Pwp1	NaN	NaN		+	+
ENSMUSG00000032834	Pwp2	NaN	NaN		+	+
ENSMUSG00000044950	Pwwp2a	NaN	NaN		+	+
ENSMUSG00000060260	Pwwp2b	NaN	NaN		+	+
ENSMUSG00000021411	Pxdc1	NaN	NaN		+	+
ENSMUSG00000020674	Pxdn	NaN	NaN		+	+
ENSMUSG00000033885	Pxk	NaN	NaN		+	+
